Name,Profile Picture,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01
nickeljorn,https://cdn2.scratch.mit.edu/get_image/user/18513539_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,308,734,1158,1420,1601,1787,2053,2286,2297,2297,2318,2379,2400,2437,2539,2550,2585,2666,2801,2964,3251,3426,3877,4311,4747,5025,5237,5444,5571,5695,5786,5882,5905,5905,5908,5909,5915,5925,5927,5927,5927,5927,5927,5928,5929,5929,5929,5929,5933
Austinato,https://cdn2.scratch.mit.edu/get_image/user/3783815_60x60.png,,,,,,,,,,,,,,,,,,,,,13,37,54,102,304,402,588,776,1017,1192,1299,1366,1409,1502,1571,1627,1653,1677,1677,1677,1677,1677,1677,1677,1677,1677,1918,2229,2326,2610,2640,2803,2964,3145,3401,3604,4060,4415,4967,5357,5492,5594,5614,5620,5621,5621,5621,5622,5629,5683,5691,5714,5722,5756,5763,5763,5798,5827,5838,5842,5842,5842,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843,5843
WolfCat67,https://cdn2.scratch.mit.edu/get_image/user/14895393_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,58,147,258,477,772,1412,1885,2420,2843,3162,3628,4351,4852,4988,5093,5138,5262,5524,5594,5616,5616,5617,5627,5627,5627,5627,5627,5684,5709,5752,5765,5771,5771,5772,5772,5772,5772,5779,5780,5780,5780,5780,5780,5780,5780,5780,5780,5781,5781,5781,5781,5781
M1mikyu,https://cdn2.scratch.mit.edu/get_image/user/24812934_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39,278,402,402,420,932,1104,1353,1621,1861,2130,2494,2675,2739,2821,2913,2979,3042,3126,3236,3342,3441,3520,3557,3615,3691,3749,3821,3890,4145,4239,4334,4406,4532,4699,4860,5082,5284,5477,5668
LionHeart70,https://cdn2.scratch.mit.edu/get_image/user/11085920_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,7,7,7,7,9,12,12,14,16,32,35,46,52,64,64,64,64,70,70,73,113,721,1670,2276,2565,2828,2989,3103,3109,3109,3114,3136,3483,4225,4671,4896,5001,5062,5155,5250,5269,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270
Super_Scratch_Bros20,https://cdn2.scratch.mit.edu/get_image/user/35057879_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,559,1592,2343,3511,3689,3872,4499,5225
bigpuppy,https://cdn2.scratch.mit.edu/get_image/user/1194969_60x60.png,,,,,,,,,,,,,,63,78,81,93,99,101,101,102,103,114,116,117,119,120,132,174,175,176,176,177,177,177,181,182,182,191,191,193,199,202,205,211,290,729,1009,1208,1405,1505,1863,2420,2692,2983,3288,3553,3682,3807,3878,4033,4118,4155,4191,4270,4311,4321,4323,4326,4328,4332,4339,4347,4350,4352,4356,4363,4377,4395,4395,4406,4414,4422,4440,4497,4500,4500,4500,4502,4502,4562,4631,4631,4675,4682,4872,4917,4924,4928,4928
banana439monkey,https://cdn2.scratch.mit.edu/get_image/user/5898454_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,41,68,87,90,123,153,169,245,272,313,440,678,1014,1423,1739,1895,2109,2421,2770,2899,2965,3053,3176,3321,3366,3422,3468,3488,3490,3497,3508,3508,3509,3523,3525,3544,3584,3614,3642,3656,3662,3670,3687,3704,3782,3925,4012,4029,4034,4261,4401,4464,4528,4691,4727,4735,4748,4749,4783,4785,4787,4789,4836,4840,4842,4849,4849,4851,4852,4852
cs156175,https://cdn2.scratch.mit.edu/get_image/user/9229050_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,312,734,1002,1299,1626,1834,2104,2503,2842,2989,3136,3267,3393,3480,3551,3650,3803,3915,4049,4102,4192,4226,4260,4262,4294,4325,4341,4351,4369,4378,4432,4450,4478,4556,4663,4697,4727,4747,4753,4757,4760,4769,4770,4771,4774,4774,4775,4780,4783,4783,4783,4783,4784,4784,4793,4793,4794,4794,4794,4794
-ShadowOfTheFuture-,https://cdn2.scratch.mit.edu/get_image/user/24605721_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,70,212,549,1063,1342,1593,1808,2044,2302,2503,2666,2788,2908,2964,3050,3113,3181,3283,3305,3397,3479,3527,3528,3578,3633,3633,3653,3694,3725,3768,3803,3862,3912,3947,3953,4001,4078,4140,4230,4271
NilsTheBest,https://cdn2.scratch.mit.edu/get_image/user/28708258_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,48,88,151,270,459,809,1140,1541,1787,2149,2433,2841,3100,3336,3566,3699,3735,3741,3741,3741,3749,3801,3813,3993,4160,4241,4248,4248,4248,4251
stickfiregames,https://cdn2.scratch.mit.edu/get_image/user/596633_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,99,183,494,677,857,981,1070,1167,1227,1420,1631,1850,2022,2138,2263,2309,2336,2336,2336,2343,2402,2463,2468,2507,2556,2559,2559,2559,2561,2564,2699,2871,3124,3434,3544,3712,3856,3927,3928,3932,3932,3935,3935,3935,3942,4042,4175,4181,4181,4181,4181,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4182,4184,4185
mtech22,https://cdn2.scratch.mit.edu/get_image/user/53075030_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,63,276,971,2002,3400,4161
TheRealNetherBefore,https://cdn2.scratch.mit.edu/get_image/user/30666269_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,571,1062,1573,1864,2126,2394,2641,2846,3050,3212,3332,3417,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487,3487
ThatOneWeirdDude,https://cdn2.scratch.mit.edu/get_image/user/49160874_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,283,283,561,716,720,728,801,1079,1533,1769,2078,2399,2786,3114,3322,3460
VideoGamerCanInvent,https://cdn2.scratch.mit.edu/get_image/user/8897854_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,31,52,108,172,178,179,180,180,221,228,228,229,230,230,230,230,230,230,230,535,556,568,594,1132,1508,1736,2195,2428,2482,2501,2501,2501,2546,2547,2547,2790,2791,2796,2796,2806,3021,3021,3021,3022,3022,3022,3045,3055,3055,3104,3308,3329,3329,3331,3331,3331,3331,3331,3332,3332,3332,3332,3332,3332,3332,3332
LuckyLucky7,https://cdn2.scratch.mit.edu/get_image/user/23942148_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,77,107,142,171,176,220,346,451,680,839,958,1440,1779,1832,1848,1888,1982,2207,2217,2218,2362,2371,2376,2649,2719,2720,2720,2720,2854,2943,2947,2995,3156,3157,3163,3192,3192,3192,3194,3259
Monkey_Legend,https://cdn2.scratch.mit.edu/get_image/user/15014814_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,7,175,433,1095,1923,2746,3073,3184,3210,3215,3218,3222,3222,3222,3223,3223,3223,3223,3223,3223,3223,3223,3223,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224,3224
PrincessFlowerTV,https://cdn2.scratch.mit.edu/get_image/user/22554997_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,109,119,134,134,134,134,134,134,135,262,526,724,815,934,993,1143,1357,1447,1550,1629,1734,1814,1889,1969,2058,2114,2150,2193,2267,2310,2341,2369,2409,2471,2512,2575,2704,2792,2871,2951,3026,3109,3161,3210
DownsGameClub,https://cdn2.scratch.mit.edu/get_image/user/11218344_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,145,179,377,472,537,614,699,802,875,991,1222,1392,1544,1641,1724,1885,1957,1981,2007,2091,2115,2161,2247,2281,2313,2317,2318,2331,2333,2342,2355,2369,2378,2388,2389,2399,2404,2411,2421,2471,2479,2487,2494,2503,2508,2549,2599,2632,2646,2654,2671,2714,2742,2772,2813,2832,2914,2963,3064,3099,3151,3168
BearSlothCoding,https://cdn2.scratch.mit.edu/get_image/user/45826642_60x60.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,81,200,280,290,297,300,305,340,426,583,927,1782,2568,2909,3022,3103,3121
